iter	TotalF1	MultiClass
0	0.7530218566	1.30704036
1	0.7676475698	1.238875272
2	0.7666899133	1.180198083
3	0.7696892749	1.127583331
4	0.766808212	1.082574097
5	0.7676696126	1.041710827
6	0.7688276941	1.006198577
7	0.7678356523	0.9728382455
8	0.7681102448	0.941829803
9	0.7705768357	0.9129723048
10	0.7703535589	0.8879308368
11	0.7714802814	0.8646832763
12	0.7719158164	0.8427934998
13	0.772233539	0.822520992
14	0.7727658911	0.8029359573
15	0.7738472914	0.7845761791
16	0.773729274	0.7691050716
17	0.7737570713	0.7537995731
18	0.7742720203	0.7398812992
19	0.7747579442	0.7256674044
20	0.7755178498	0.7125919841
21	0.7758075742	0.7001202481
22	0.7757082625	0.6899267739
23	0.7759925476	0.6799106708
24	0.7762363844	0.6699869913
25	0.7763823867	0.6606509346
26	0.7766076577	0.6521642501
27	0.7766836952	0.643702151
28	0.7769434167	0.6358236431
29	0.7769741537	0.6286420758
30	0.7771415056	0.6222958305
31	0.7771556311	0.6166218339
32	0.7774316251	0.6106036809
33	0.7773449307	0.6052644133
34	0.7776873469	0.5993075281
35	0.7779459232	0.5934513531
36	0.777805855	0.5878395507
37	0.7784997739	0.5825637147
38	0.7789455548	0.5777319958
39	0.7791863738	0.5732597277
40	0.7802226898	0.5688262756
41	0.780346769	0.5649553959
42	0.7808723196	0.5607296252
43	0.781127066	0.5572274679
44	0.7813662373	0.5537214215
45	0.7813935692	0.5509782054
46	0.7815473058	0.547957581
47	0.781512271	0.54522148
48	0.7817647096	0.5423528987
49	0.7816348254	0.540186511
50	0.7819617503	0.5380046871
51	0.782157957	0.53565025
52	0.7823773954	0.5330568019
53	0.782829909	0.5307070528
54	0.7827686197	0.5287973823
55	0.7829221618	0.5268050619
