iter	Passed	Remaining
0	243	194620
1	492	196568
2	751	199690
3	1022	203423
4	1294	205853
5	1551	205305
6	1811	205235
7	2058	203750
8	2296	201829
9	2538	200526
10	2782	199611
11	3061	201026
12	3369	203954
13	3623	203457
14	3886	203385
15	4154	203551
16	4412	203249
17	4678	203269
18	4928	202588
19	5191	202471
20	5459	202535
21	5718	202223
22	5968	201631
23	6225	201295
24	6477	200807
25	6735	200516
26	6987	200039
27	7246	199791
28	7527	200137
29	7790	199956
30	8055	199834
31	8323	199764
32	8588	199607
33	8843	199249
34	9113	199203
35	9374	198952
36	9642	198853
37	9918	198898
38	10180	198650
39	10446	198475
40	10717	198403
41	10989	198328
42	11259	198216
43	11522	197969
44	11791	197836
45	12050	197515
46	12324	197460
47	12593	197299
48	12866	197203
49	13130	196956
50	13400	196802
51	13663	196548
52	13930	196341
53	14199	196166
54	14477	196098
55	14736	195787
